district|party|voter_id|first_name|last_name
42|R|7|Ann|Anderson
19|D|23|Bob|Basich
21|R|32|John|Beck
22|D|34|Jennifer|Belcher
45|R|40|John|Betrozoff
20|R|45|Rose|Bowman
42|D|46|Dennis|Braddock
8|D|47|Lane|Bray
32|D|48|Joanne|Brekke
28|R|50|Art|Broback
30|R|54|Jean-Marie|Brough
20|R|63|Bill|Brumsickle
44|D|68|Maria|Cantwell
13|R|75|Gary|Chandler
18|D|93|David|Cooper
3|D|103|Bill|Day
3|D|110|Dennis|Dellwo
2|D|116|Randy|Dorn
29|D|121|Brian|Ebersole
14|R|123|Betty|Edmondson
48|R|132|Roy|Ferguson
33|D|135|Greg|Fisher
47|R|140|Elmira|Forner
7|R|146|Steve|Fuhrman
33|D|186|Lorraine|Hine
47|R|192|Bruce|Holland
14|D|205|Jay|Inslee
40|D|214|Rob|Johnson
24|D|219|Evan|Jones
49|D|226|Joseph|King
38|D|227|Richard|King
42|D|234|Pete|Kremen
11|D|245|June|Leonard
37|D|251|Gary|Locke
8|D|254|Curtis|Ludwig
41|R|264|Fred|May
12|R|276|Alex|McLean
17|D|282|Holly|Meyers
5|R|284|Todd|Mielke
6|R|284|Todd|Mielke
45|R|285|Louise|Miller
6|R|297|John|Moyer
3|R|297|John|Moyer
15|R|301|Harvey|Myers
9|R|304|Darwin|Nealey
37|D|311|John|O'Brien
4|D|320|George|Orr
44|R|325|George-Marshall|Paris
17|D|328|W-Kim|Peery
36|D|332|Larry|Phillips
26|D|341|Wes|Pruitt
15|D|349|Margaret|Rayburn
19|D|359|Mike|Riley
31|D|363|Judith|Roland
1|D|367|Nancy|Rust
23|R|376|Karen|Schmidt
5|R|396|B-Jean|Silver
6|R|396|B-Jean|Silver
6|R|406|Duane|Sommers,
39|D|410|Art|Sprenkle
25|R|429|Randy|Tate
31|R|444|Christopher|Vance
27|D|449|Art|Wang
10|R|472|Simeon|Wilson
43|D|474|Jesse|Wineberry
37|D|474|Jesse|Wineberry
39|R|481|John|Wynne
20|R|5|Neil|Amondson
39|R|15|Cliff|Bailey
7|R|19|Scott|Barr
49|D|25|Albert|Bauer
45|R|42|Alan|Bluechel
41|R|67|Emilio|Cantu
24|D|90|Paul|Conner
23|R|95|Ellen|Craswell
44|R|127|Time|Erwin
25|D|148|Marcus|Gaspard
13|D|168|Frank|Hansen
16|R|176|Jeannette|Hayner
8|D|211|Jim|Jesernig
22|D|232|Lela|Kreidler,
2|D|256|Ken|Madsen
14|R|261|Jim|Matson
40|D|278|Patrick|McMullen
10|R|281|Jack|Metcalf
36|D|290|Ray|Moore
1|D|299|Patty|Murray
21|R|308|Gary|Nelson
43|D|310|Janice|Niemi
9|R|326|E-G|Patterson
37|D|329|Dwight|Pelz
29|D|345|A-L|Rasmussen
46|D|360|Nina|Rinehart
5|R|370|Gerald|Saling
12|R|387|George|Sellar
47|D|399|Sylvia|Skratek
33|D|402|Adam|Smith
18|R|403|Linda|Smith
3|D|414|Lois|Stratton
17|D|423|Dean|Sutherland
34|D|428|Phil|Talmadge
11|R|434|Leo|Thorsness
38|D|445|Larry|Vognild
30|R|446|Peter|von-Reichbauer
32|D|467|Alvin|Williams
27|D|477|R-Lorraine|Wojahn
22|D|233|Myron|Kreidler
13|D|169|Wanda|Hansen
28|R|419|Susan|Sumner
35|D|639|Barbara|Holm
5|D|570|Kathleen|Drew
16|D|562|Valoria|Loveland
39|D|563|Kevin|Quigley
20|D|621|David|Chappell
1|D|629|Barbara|Cothern
28|D|636|Stanley|Flemming
12|R|637|Dale|Foreman
13|D|638|Mick|Hansen
44|D|640|Jim|Johanson
1|D|641|Linda|Johnson
10|D|642|Sue|Karahalios
14|D|645|Dave|Lemmon
18|D|656|Jim|Springer
5|R|660|Brian|Thomas
22|D|662|Cathy|Wolfe
45|R|1369|Bill|Backlund
37|D|1408|Vivian|Caver
8|D|1351|Thomas|Moak
30|R|1352|Ray|Schow
10|R|1582|Barney|Beeksma
21|R|1569|Jerry|Blanton
42|R|1575|Gene|Goldsmith
23|R|1588|Steve|Hargrove
26|R|1578|Tomm|Huff
45|R|1589|Kathy|Lambert
18|R|1591|John|Pennington
21|R|1579|Renee|Radcliff
1|R|1593|Mike|Sherstad
32|D|1603|Darlene|Fairley
18|R|1667|Hal|Palmer
25|D|1938|Calvin|Goings
29|D|1949|Carl|Scheuerman
29|D|2132|Brian|Sullivan
41|R|2222|Mike|Wensman
35|D|2202|Lena|Swanson
5|R|2147|Glenn|Anderson
33|D|2296|John|Blalock
32|D|3471|Carolyn|Edmonds
31|D|3485|Michael|Stensen
21|R|6307|Joe|Marine
6|R|11176|John|Wyss
45|D|12067|Eric|Oemig
14|R|20759|Gina|McCabe
16|R|26172|William|Jenkin
39|R|28317|Keith|Wagoner
28|R|420|Stanley|Johnson
47|R|877|Ron|Carlson
34|D|442|Georgette|Valle
16|R|305|Richard|Neher
32|D|307|Richard|Nelson
